command,mean,stddev,median,user,system,min,max,parameter_lang,parameter_mode,parameter_node,parameter_size
"./nexus pp 3 '""../test-data-00MB.txt""'",0.04625559675219511,0.001336507877947301,0.04625079174,0.0012379853658536584,0.00021987170731707314,0.03605935374,0.05131411774,morloc,pp,3,0
"./nexus pp 3 '""../test-data-10MB.txt""'",0.06432878732695652,0.00046583919753730776,0.06426051724000001,0.0012069065217391304,0.0004416078260869566,0.06332632674000001,0.06559819274,morloc,pp,3,1
"./nexus pp 3 '""../test-data-20MB.txt""'",0.08308030156857141,0.0008649865590654976,0.08289782274,0.0012425314285714282,0.00041256,0.08195389774,0.08547645374,morloc,pp,3,2
"./nexus pp 3 '""../test-data-30MB.txt""'",0.09978800674000002,0.0006731631278872894,0.09963792474000001,0.0014049344827586207,0.00029829517241379306,0.09819565274,0.10124369874,morloc,pp,3,3
"./nexus pp 3 '""../test-data-40MB.txt""'",0.12984612373999999,0.008171359746993982,0.12655284374000003,0.0013945521739130433,0.00028748,0.12538501274000002,0.15201802774000003,morloc,pp,3,4
"./nexus pp 3 '""../test-data-50MB.txt""'",0.15400426744,0.010604733264815189,0.14907447574000002,0.0012072499999999998,0.00039153599999999995,0.14775553674000003,0.17793277774000002,morloc,pp,3,5
"./nexus pp 3 '""../test-data-60MB.txt""'",0.16874948126941178,0.0012638700441170794,0.16826236774000003,0.0011327823529411764,0.0004514047058823529,0.16719399874000002,0.17150738574000002,morloc,pp,3,6
"./nexus pp 3 '""../test-data-70MB.txt""'",0.17777356642750003,0.006438340236066467,0.17442141674000003,0.0011830875,0.00038350249999999993,0.17162609274,0.18785958474000003,morloc,pp,3,7
"./nexus pp 3 '""../test-data-80MB.txt""'",0.18936541194000003,0.0010675358423341945,0.18965316574000002,0.0012011733333333332,0.0003086239999999999,0.18679264874,0.19064807074000004,morloc,pp,3,8
"./nexus pp 3 '""../test-data-90MB.txt""'",0.20711760024,0.0014367018274367598,0.20733974824,0.0011522571428571426,0.00035464571428571424,0.20488926174000002,0.21009542874000003,morloc,pp,3,9
"./nexus pp 3 '""../test-data-100MB.txt""'",0.22743284407333333,0.008203481234951382,0.22425306074,0.0011714833333333332,0.0004906833333333333,0.22323286774000003,0.25144731374,morloc,pp,3,10
