command,mean,stddev,median,user,system,min,max,parameter_lang,parameter_mode,parameter_node,parameter_size
"./nexus cc 0 '""../test-data-00MB.txt""'",0.017329074740000016,0.000932513660901112,0.01737634274,0.0013101012658227845,0.00047737759493670853,0.015607109240000002,0.02608347524,morloc,cc,0,0
"./nexus cc 1 '""../test-data-00MB.txt""'",0.017660529485283027,0.000629261819939234,0.01775380524,0.0014149122012578612,0.00033977308176100636,0.015588495240000002,0.019052943240000002,morloc,cc,1,0
"./nexus cc 10 '""../test-data-00MB.txt""'",0.02092732503856116,0.0008754622670606587,0.02098705624,0.001379541870503597,0.0004652585611510792,0.01872434724,0.02754906424,morloc,cc,10,0
"./nexus cc 1000 '""../test-data-00MB.txt""'",0.02800750417742575,0.00033877042346372704,0.027973313920000003,0.001437723564356435,0.0004968582178217821,0.027275643920000002,0.028957708920000002,morloc,cc,1000,0
"./nexus cc 11 '""../test-data-00MB.txt""'",0.021138003012058818,0.0005768433999178115,0.02119097724,0.0014070402941176476,0.0004096097058823531,0.01941007124,0.02237588724,morloc,cc,11,0
"./nexus cc 12 '""../test-data-00MB.txt""'",0.021555195175251802,0.0008933581587157625,0.02152737624,0.0014076469064748206,0.0004310928057553958,0.01959880124,0.02961403524,morloc,cc,12,0
"./nexus cc 128 '""../test-data-00MB.txt""'",0.026351121496576577,0.00047120244781679286,0.02637744892,0.0013972396396396394,0.000525083963963964,0.02455434892,0.027291909920000003,morloc,cc,128,0
"./nexus cc 13 '""../test-data-00MB.txt""'",0.021962154702686577,0.0011952965711985028,0.02198563274,0.0014421549253731346,0.00039856716417910435,0.02027133724,0.03416386324,morloc,cc,13,0
"./nexus cc 14 '""../test-data-00MB.txt""'",0.02220362857082707,0.0005823790895545526,0.022288954240000002,0.0014038048120300747,0.00043805203007518797,0.020298944240000002,0.02330965424,morloc,cc,14,0
"./nexus cc 15 '""../test-data-00MB.txt""'",0.0226217282476923,0.0009019304090380405,0.022631345240000003,0.0014298913846153847,0.00044636815384615385,0.02086255724,0.03070135324,morloc,cc,15,0
"./nexus cc 16 '""../test-data-00MB.txt""'",0.022861920364030997,0.0005106026870851985,0.02296518224,0.0014761119379844963,0.00040891488372093017,0.02090766224,0.02404929524,morloc,cc,16,0
"./nexus cc 192 '""../test-data-00MB.txt""'",0.02657223230392857,0.0004172707858766444,0.026588812920000003,0.0014260499999999995,0.0004894889285714286,0.02544874592,0.027519006920000002,morloc,cc,192,0
"./nexus cc 2 '""../test-data-00MB.txt""'",0.018102040457948713,0.0009226341387961745,0.018202826239999997,0.001302174102564102,0.00047218974358974363,0.01602406424,0.02648277324,morloc,cc,2,0
"./nexus cc 256 '""../test-data-00MB.txt""'",0.027056031256363633,0.0009652370450806487,0.027056607420000003,0.0014084614545454546,0.000523718181818182,0.025250676920000003,0.03450293392,morloc,cc,256,0
"./nexus cc 3 '""../test-data-00MB.txt""'",0.018461396887798742,0.0006597596587965528,0.018550187240000002,0.0014312787421383647,0.0003721815094339622,0.01649638124,0.01971843424,morloc,cc,3,0
"./nexus cc 32 '""../test-data-00MB.txt""'",0.02554091503607144,0.0004642272724408675,0.025541496420000004,0.0013704064285714288,0.0004789100000000001,0.02409729792,0.026703148920000003,morloc,cc,32,0
"./nexus cc 384 '""../test-data-00MB.txt""'",0.027253802372830184,0.0005669998317397271,0.027136945920000002,0.0014392358490566035,0.000492683396226415,0.026255694920000003,0.030768986920000005,morloc,cc,384,0
"./nexus cc 4 '""../test-data-00MB.txt""'",0.018899702269761905,0.0008975736065455393,0.018987326239999998,0.001415041428571429,0.000395712619047619,0.01688614624,0.02668971624,morloc,cc,4,0
"./nexus cc 4 '""../test-data-00MB.txt""'",0.034668528082352934,0.0011458033506660569,0.0345527288,0.0014346404705882355,0.0005407181176470588,0.0329595638,0.0431880918,morloc,cc,4,0
"./nexus cc 4 '""../test-data-100MB.txt""'",0.2496065752166667,0.0014636659967183423,0.24959405980000002,0.0014969266666666665,0.0006161166666666666,0.24718940880000004,0.2520899818,morloc,cc,4,10
"./nexus cc 4 '""../test-data-10MB.txt""'",0.057977651219999995,0.0006634326974747752,0.0582112078,0.0015856815999999996,0.00047444879999999993,0.0564743248,0.059316529800000004,morloc,cc,4,1
"./nexus cc 4 '""../test-data-110MB.txt""'",0.2714140434363636,0.0018132566966327318,0.2713677368,0.001130290909090909,0.0010739599999999999,0.2677267078,0.2740715048,morloc,cc,4,11
"./nexus cc 4 '""../test-data-120MB.txt""'",0.29091141099999995,0.0011128546154240534,0.2906925448,0.0015173279999999999,0.0005907320000000001,0.2896757808,0.2927875008,morloc,cc,4,12
"./nexus cc 4 '""../test-data-130MB.txt""'",0.31197523899999996,0.0017502342759224934,0.3120147318,0.0014971199999999998,0.0006475319999999999,0.3095143168,0.3146779258,morloc,cc,4,13
"./nexus cc 4 '""../test-data-140MB.txt""'",0.3306501581,0.003387407920832775,0.3308727768,0.00191772,0.00023611599999999997,0.3242057418,0.3368775588,morloc,cc,4,14
"./nexus cc 4 '""../test-data-150MB.txt""'",0.3494371482,0.0018940013847711166,0.34923155429999997,0.0015681279999999998,0.0005811319999999999,0.3469710158,0.3521883278,morloc,cc,4,15
"./nexus cc 4 '""../test-data-160MB.txt""'",0.3710255507,0.0021414247769212177,0.3713483163,0.0013623359999999998,0.0008287399999999999,0.3680883728,0.3736581898,morloc,cc,4,16
"./nexus cc 4 '""../test-data-20MB.txt""'",0.08010543042162165,0.0007083376652642972,0.0801904718,0.001800217297297297,0.00033494054054054054,0.0787893018,0.0815114138,morloc,cc,4,2
