command,mean,stddev,median,user,system,min,max,parameter_lang,parameter_mode,parameter_node,parameter_size
python3 main.py 0 ../test-data-00MB.txt,0.010710835296899224,0.0002351974931003084,0.010682722700000001,0.00836612899224806,0.0018621686821705425,0.010296543699999999,0.0114132917,python,testlc,0,0
python3 main.py 1 ../test-data-00MB.txt,0.010718657087218048,0.00023136396770928976,0.0106884982,0.008148370526315786,0.002075240451127819,0.0101853537,0.0116449607,python,testlc,1,0
python3 main.py 2 ../test-data-00MB.txt,0.010703697273076917,0.00021806790276109872,0.0106824517,0.008152975384615383,0.002060489615384615,0.0102595577,0.0113791677,python,testlc,2,0
python3 main.py 3 ../test-data-00MB.txt,0.010722919339097747,0.00022641265860533767,0.0106711872,0.008369832932330823,0.0018581702255639097,0.0102590287,0.0115602677,python,testlc,3,0
python3 main.py 4 ../test-data-00MB.txt,0.010693903741984737,0.0002289695215024637,0.0106794142,0.00839472870229007,0.0018177335877862595,0.0102547927,0.0119230247,python,testlc,4,0
python3 main.py 5 ../test-data-00MB.txt,0.01068722813511451,0.00022491123224264683,0.0106582312,0.008422488244274811,0.0017725110687022902,0.0102533447,0.0116835807,python,testlc,5,0
python3 main.py 6 ../test-data-00MB.txt,0.010621677755555553,0.00018058257515906313,0.010595254699999999,0.008046878518518511,0.002094223481481481,0.0102872447,0.0114670157,python,testlc,6,0
python3 main.py 7 ../test-data-00MB.txt,0.012018538201901142,0.0011122155730417804,0.0125399847,0.00936139003802281,0.0021028516349809894,0.0102512557,0.0136573197,python,testlc,7,0
python3 main.py 8 ../test-data-00MB.txt,0.012988987771428576,0.00026721042934810474,0.0129890907,0.010172146607142859,0.002211087053571429,0.0124174427,0.0138437967,python,testlc,8,0
python3 main.py 9 ../test-data-00MB.txt,0.013005723509954747,0.00029054854828048976,0.0130340407,0.00977339755656108,0.0026240739366515825,0.0122890727,0.0138492187,python,testlc,9,0
python3 main.py 10 ../test-data-00MB.txt,0.012903507635779826,0.00027856398209294707,0.0128871517,0.010014660000000002,0.0023091662385321112,0.0123394367,0.0137878347,python,testlc,10,0
python3 main.py 11 ../test-data-00MB.txt,0.012944558929074881,0.0004209250132130198,0.0128960727,0.010017743700440526,0.002314259735682819,0.0124335527,0.0176690027,python,testlc,11,0
python3 main.py 12 ../test-data-00MB.txt,0.012910489075565612,0.00028202069096370337,0.0129047537,0.01017642018099548,0.0021448229864253405,0.0122741397,0.0137745307,python,testlc,12,0
python3 main.py 13 ../test-data-00MB.txt,0.012944217404035889,0.000267763096857238,0.0129494297,0.009727207085201786,0.0026318222421524667,0.0123466267,0.0138232017,python,testlc,13,0
python3 main.py 14 ../test-data-00MB.txt,0.01290618502608696,0.000280483571872337,0.0129097082,0.010125886086956519,0.002198469043478261,0.0122989387,0.0137488997,python,testlc,14,0
python3 main.py 15 ../test-data-00MB.txt,0.012850999335135132,0.0002554393073047536,0.0128126822,0.009685322162162164,0.0025918271171171173,0.0122576097,0.0135999777,python,testlc,15,0
python3 main.py 16 ../test-data-00MB.txt,0.01305171300660377,0.0005585207553938706,0.0130011412,0.009964726037735851,0.0024514255660377363,0.0123662037,0.0194306537,python,testlc,16,0
Rscript --vanilla main.R 0 ../test-data-00MB.txt,0.14447176843,0.0027232429863932642,0.14422429718000002,0.12053907,0.018637060000000004,0.13983837368000002,0.15278195268000003,R,testlc,0,0
Rscript --vanilla main.R 1 ../test-data-00MB.txt,0.13974256887047617,0.0013526882959631027,0.13991234068000002,0.11410638190476191,0.02023603142857143,0.13732213668,0.14176249568000002,R,testlc,1,0
